ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU	inference
6.999618456457894211e-02	4.917716184303260601e-02	5.465760614230862346e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.031241264404031854e-01	3.378363929551521094e-01	6.522508683601326851e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.640392579029053888e-01	1.633586385354235393e+00	6.631209135490195861e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.699910062227394270e-01	1.953510523530143539e+00	3.200025152100119952e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.553761700677569468e-01	1.433512468730209433e+00	5.271267552712290971e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.384140788438373737e-01	1.306754976314288719e+00	7.293549920278468157e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.142783791574388141e-01	6.388715627310627143e-01	4.034234297915237355e-01	3.253603771205092476e-01	3.253603771205092476e-01	3.253603771205092476e-01	3.253603771205092476e-01
3.561154806943520046e-01	8.975695331187186765e-01	5.543978071949566822e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.046375303314410976e-01	5.631304293506530501e-01	4.955503199053989394e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.799840253536414303e-01	6.150992402778614476e-01	5.261434330360599265e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.658992704896690262e-01	3.176132971586192455e-01	6.226867939011697661e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.950753855306801121e-01	4.464214866218551570e-01	3.916619325093038118e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.421964954528460945e-01	7.575596026527933180e-01	7.152311455392317274e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.423408992675578133e-02	3.564787431641648907e-01	3.116965311206838507e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.332113350089892068e-01	5.979412985789664958e-01	6.441618674735363204e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.168619311573328101e-01	4.505221025537127222e-01	5.926093688822930972e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.217217117739931687e-01	5.511169585151055594e-01	9.256367553247837332e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.510365282662438524e-01	5.212068387837662797e-01	5.183138307449107751e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.738419341764266046e-01	1.098774170975446385e+00	8.405430795787592890e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.776337819678705299e-01	9.971995806367320858e-01	7.081466589973499648e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
